year,life_expectancy,gdp_per_capita,population,number_of_child_deaths,income_per_person,country,continent
2003,72.55,2019.98487,3017806,1069,4207,Armenia,Asia
2004,72.66,2244.22017,3000612,1080,4674,Armenia,Asia
2005,72.5,2571.98576,2981259,1073,5357,Armenia,Asia
2006,72.45,2933.83348,2958500,1045,6110,Armenia,Asia
2007,72.88,3366.16219,2933056,1001,7011,Armenia,Asia
2008,72.81,3629.1577,2908220,944,7558,Armenia,Asia
2009,73.01,3136.81173,2888584,887,6533,Armenia,Asia
2010,73.34,3218.38165,2877311,831,6703,Armenia,Asia
2011,73.8,3371.67283,2875581,779,7022,Armenia,Asia
2012,74.29,3606.48055,2881922,723,7511,Armenia,Asia
2013,74.99,3710.57574,2893509,671,7728,Armenia,Asia
2014,75.36,3827.3432,2906220,620,7971,Armenia,Asia
2015,75.38,3935.28877,2916950,577,8180,Armenia,Asia
1960,71.25,19387.31876,10289707,5775,14339,Australia,Oceania
1961,71.53,19477.7725,10493555,5722,14119,Australia,Oceania
1962,71.3,19254.58094,10691689,5592,14734,Australia,Oceania
1963,71.37,20062.63642,10894270,5451,15350,Australia,Oceania
1964,71.03,21045.68269,11115211,5319,16090,Australia,Oceania
1965,71.36,21872.08216,11363313,5278,16593,Australia,Oceania
1966,71.21,21887.69748,11643451,5257,16748,Australia,Oceania
1967,71.49,22975.29467,11949357,5312,17561,Australia,Oceania
1968,71.12,23723.84555,12265087,5387,18251,Australia,Oceania
1969,71.54,24868.99172,12568300,5438,18938,Australia,Oceania
1970,71.21,26132.67282,12842907,5447,19709,Australia,Oceania
1971,71.48,26275.63101,13084157,5442,20165,Australia,Oceania
1972,71.79,26806.41756,13296872,5378,20374,Australia,Oceania
1973,72.05,27089.75416,13486438,5222,21173,Australia,Oceania
1974,72.22,27496.26128,13662048,4983,21370,Australia,Oceania
1975,72.72,27526.55584,13831206,4606,21695,Australia,Oceania
1976,73.05,27957.20307,13994623,4154,22358,Australia,Oceania
1977,73.45,28638.4431,14152065,3687,22359,Australia,Oceania
1978,73.87,28561.19162,14309298,3221,22748,Australia,Oceania
1979,74.28,29396.67192,14473242,2862,23681,Australia,Oceania
1980,74.58,29921.6677,14649114,2666,23857,Australia,Oceania
1981,74.86,30433.62175,14838494,2618,24291,Australia,Oceania
1982,75.02,30926.45549,15041065,2673,23868,Australia,Oceania
1983,75.35,29864.03461,15257358,2798,23568,Australia,Oceania
1984,75.53,30880.52491,15487214,2903,24917,Australia,Oceania
1985,75.67,32060.12383,15729643,2937,25856,Australia,Oceania
1986,76.01,32817.89143,15986164,2903,26038,Australia,Oceania
1987,76.22,33132.29627,16254935,2775,26949,Australia,Oceania
1988,76.44,34446.31073,16527430,2614,27737,Australia,Oceania
1989,76.6,35178.07522,16792294,2432,28535,Australia,Oceania
1990,77.04,35896.80015,17041431,2281,28583,Australia,Oceania
1991,77.41,35304.81615,17271874,2143,28115,Australia,Oceania
1992,77.63,35033.39935,17485948,2051,27897,Australia,Oceania
1993,77.9,36093.5763,17687479,1990,28747,Australia,Oceania
1994,78.06,37134.41275,17882737,1916,29597,Australia,Oceania
1995,78.31,38093.45907,18076743,1848,30379,Australia,Oceania
1996,78.51,39054.47324,18271685,1789,31167,Australia,Oceania
1997,78.79,40151.82707,18467588,1714,32037,Australia,Oceania
1998,79.1,41554.11494,18665045,1657,33112,Australia,Oceania
1999,79.38,43143.58276,18864112,1601,34375,Australia,Oceania
2000,79.7,44313.31823,19065837,1532,35281,Australia,Oceania
2001,80,44564.97656,19268533,1494,35481,Australia,Oceania
2002,80.23,45786.64281,19475191,1464,36401,Australia,Oceania
2003,80.52,46575.41533,19696972,1472,37057,Australia,Oceania
2004,80.79,47880.61166,19948429,1470,38149,Australia,Oceania
2005,81.07,48760.35517,20238903,1458,38855,Australia,Oceania
2006,81.26,49408.05274,20573606,1482,39426,Australia,Oceania
2007,81.42,50955.05595,20946664,1494,40650,Australia,Oceania
2008,81.57,51770.90715,21342493,1508,41317,Australia,Oceania
2009,81.79,51689.91356,21739040,1504,41207,Australia,Oceania
2010,81.98,51936.88871,22120064,1478,41385,Australia,Oceania
2011,82.15,52475.66325,22479799,1396,41782,Australia,Oceania
2012,82.33,53553.23394,22821849,1323,42561,Australia,Oceania
2013,82.53,54008.70819,23150729,1243,42920,Australia,Oceania
2014,82.58,54546.20306,23474668,1171,43396,Australia,Oceania
2015,82.56,55017.24802,23799556,1146,43832,Australia,Oceania
1960,68.72,13031.03159,7070766,5754,12073,Austria,Europe
1961,69.69,13677.46421,7111142,5502,12634,Austria,Europe
1962,69.48,13953.95,7156833,5183,12852,Austria,Europe
1963,69.61,14438.35666,7205994,4869,13280,Austria,Europe
1964,70.1,15220.81972,7256091,4577,13975,Austria,Europe
1965,69.89,15648.5267,7305158,4331,14275,Austria,Europe
1966,70.19,16416.0054,7352240,4108,14965,Austria,Europe
1967,70.07,16783.88969,7397171,3929,15298,Austria,Europe
1968,70.22,17443.70498,7439579,3783,15888,Austria,Europe
1969,69.99,18474.54001,7479346,3653,16823,Austria,Europe
1970,70.04,19573.86688,7516239,3503,17953,Austria,Europe
1971,70.17,20483.45329,7550340,3305,18792,Austria,Europe
1972,70.42,21628.96612,7581117,3050,19848,Austria,Europe
1973,70.78,22561.3705,7607065,2745,20709,Austria,Europe
1974,70.96,23410.89027,7626290,2421,21495,Austria,Europe
1975,71.24,23387.70638,7637689,2120,21479,Austria,Europe
1976,71.64,24501.74933,7640749,1866,22508,Austria,Europe
1977,71.95,25736.55121,7636576,1680,23557,Austria,Europe
1978,72.14,25703.13738,7627759,1557,23497,Austria,Europe
1979,72.35,27126.17818,7617884,1476,24827,Austria,Europe
1980,72.51,27595.83476,7609752,1422,25407,Austria,Europe
1981,72.76,27485.83215,7604513,1377,25337,Austria,Europe
1982,72.96,28018.54088,7602181,1340,25792,Austria,Europe
1983,73.2,28898.21885,7603102,1309,26598,Austria,Europe
1984,73.55,28914.85659,7607293,1261,26688,Austria,Europe
1985,73.87,29623.43413,7614868,1194,27273,Austria,Europe
1986,74.27,30285.93319,7625393,1104,27886,Austria,Europe
1987,74.64,30677.54399,7639352,988,28320,Austria,Europe
1988,75.01,31643.80896,7658840,888,29143,Austria,Europe
1989,75.23,32726.05943,7686572,814,30270,Austria,Europe
1990,75.51,33888.99559,7723949,765,31265,Austria,Europe
1991,75.71,34707.07123,7772701,741,32020,Austria,Europe
1992,75.9,35045.84429,7830933,737,32333,Austria,Europe
1993,76.14,34941.1434,7892086,737,32236,Austria,Europe
1994,76.4,35643.02768,7947209,712,32884,Austria,Europe
1995,76.68,36537.99304,7990121,662,33709,Austria,Europe
1996,76.95,37346.00743,8017863,611,34471,Austria,Europe
1997,77.25,38084.70138,8032876,553,35191,Austria,Europe
1998,77.53,39405.41603,8041050,489,36404,Austria,Europe
1999,77.8,40727.48494,8051113,439,37638,Austria,Europe
2000,78.12,42001.21116,8069276,412,38812,Austria,Europe
2001,78.47,42370.9316,8097748,397,39186,Austria,Europe
2002,78.71,42859.3294,8134412,395,39639,Austria,Europe
2003,78.91,43052.60307,8175852,400,39745,Austria,Europe
2004,79.23,43956.58266,8216805,396,40568,Austria,Europe
2005,79.48,44637.85641,8253650,395,41155,Austria,Europe
2006,79.77,45951.73469,8284735,389,42324,Austria,Europe
2007,80,47510.29379,8311783,377,43715,Austria,Europe
2008,80.19,48053.48308,8338453,364,44253,Austria,Europe
2009,80.3,46123.49069,8370038,351,42460,Austria,Europe
2010,80.5,46858.04327,8409949,341,43175,Austria,Europe
2011,80.72,48065.31671,8459864,327,44238,Austria,Europe
2012,80.87,48172.2377,8517548,315,44365,Austria,Europe
2013,81.07,47901.36543,8577782,312,44162,Austria,Europe
2014,81.31,47922.33985,8633220,300,44123,Austria,Europe
2015,81.4,47905.54315,8678657,288,44075,Austria,Europe
1990,66.22,3118.54659,7242770,19510,8513,Azerbaijan,Asia
1991,65.92,3049.01599,7357956,19440,8323,Azerbaijan,Asia
1992,64.27,2324.45298,7471933,19180,6346,Azerbaijan,Asia
1993,64.41,1760.55465,7581761,18680,4806,Azerbaijan,Asia
1994,63.93,1394.74421,7683709,17920,3808,Azerbaijan,Asia
1995,64.89,1216.07792,7775426,16860,3320,Azerbaijan,Asia
1996,65.32,1219.50935,7855553,15530,3329,Azerbaijan,Asia
1997,65.64,1277.85412,7925669,13960,3488,Azerbaijan,Asia
1998,65.81,1392.36119,7989904,12340,3801,Azerbaijan,Asia
1999,66.11,1482.32977,8054125,10880,4047,Azerbaijan,Asia
2000,66.56,1633.39444,8122741,9630,4459,Azerbaijan,Asia
2001,67.21,1781.2464,8197279,8618,4863,Azerbaijan,Asia
2002,67.5,1955.41315,8277015,7883,5338,Azerbaijan,Asia
2003,67.33,2158.00717,8361359,7379,5891,Azerbaijan,Asia
2004,67.44,2357.39603,8448882,7006,6435,Azerbaijan,Asia
2005,67.64,2949.44282,8538606,6737,8052,Azerbaijan,Asia
2006,68,3923.65815,8630195,6519,10711,Azerbaijan,Asia
2007,68.35,4851.17691,8724304,6329,13243,Azerbaijan,Asia
2008,68.4,5262.10136,8821908,6211,14365,Azerbaijan,Asia
2009,68.8,5639.00169,8924407,6200,15394,Azerbaijan,Asia
2010,69.13,5842.80578,9032457,6327,15950,Azerbaijan,Asia
2011,69.94,5770.9697,9146379,6611,15754,Azerbaijan,Asia
2012,70.23,5820.07985,9264917,6982,15888,Azerbaijan,Asia
2013,71,6078.32065,9385293,7296,16593,Azerbaijan,Asia
2014,71.47,6122.98049,9503771,7403,16715,Azerbaijan,Asia
2015,71.79,6117.03086,9617484,7206,16699,Azerbaijan,Asia
1960,42.02,214.13695,2786106,32880,645,Burundi,Africa
1961,42.34,181.21768,2839666,33400,543,Burundi,Africa
1962,42.67,193.95324,2893669,33930,580,Burundi,Africa
1963,43,198.12222,2949926,34530,596,Burundi,Africa
1964,43.32,206.28944,3010859,32900,616,Burundi,Africa
1965,43.64,209.80351,3077876,34230,624,Burundi,Africa
1966,43.92,214.27114,3152723,35530,638,Burundi,Africa
1967,44.15,237.7556,3234023,36660,681,Burundi,Africa
1968,44.36,231.17092,3316233,37550,661,Burundi,Africa
1969,44.53,222.72481,3391753,38230,643,Burundi,Africa
1970,44.69,265.22918,3455606,38710,802,Burundi,Africa
1971,44.93,268.64421,3505391,39170,849,Burundi,Africa
1972,18.24,248.69779,3544047,39370,773,Burundi,Africa
1973,45.11,263.27208,3578490,39520,828,Burundi,Africa
1974,45.18,258.46259,3618585,39920,810,Burundi,Africa
1975,45.19,256.51582,3671494,40760,802,Burundi,Africa
1976,45.32,271.84296,3739659,41540,850,Burundi,Africa
1977,45.59,296.55611,3821194,42340,936,Burundi,Africa
1978,45.77,286.81818,3913768,42970,905,Burundi,Africa
1979,46.09,284.36119,4013310,43340,882,Burundi,Africa
1980,46.31,279.95897,4116817,43330,914,Burundi,Africa
1981,46.64,306.10152,4223195,42990,974,Burundi,Africa
1982,46.92,295.17478,4333386,42190,951,Burundi,Africa
1983,47.2,298.20417,4448728,41250,959,Burundi,Africa
1984,47.43,290.66022,4571292,40610,937,Burundi,Africa
1985,47.6,315.87285,4702066,40460,1027,Burundi,Africa
1986,47.69,316.74231,4841565,40810,1048,Burundi,Africa
1987,47.88,324.37964,4987736,41760,1067,Burundi,Africa
1988,48.01,330.86692,5135956,43110,1080,Burundi,Africa
1989,47.98,326.18228,5280024,44520,1073,Burundi,Africa
1990,47.99,329.15778,5415415,45710,1087,Burundi,Africa
1991,47.87,337.70835,5542048,46870,1116,Burundi,Africa
1992,47.75,333.94322,5661139,47420,1103,Burundi,Africa
1993,41.81,307.12348,5771398,47420,1015,Burundi,Africa
1994,47.55,290.31982,5871607,46960,959,Burundi,Africa
1995,46.95,263.27085,5962058,46220,870,Burundi,Africa
1996,46.58,239.03963,6041112,45340,790,Burundi,Africa
1997,47,232.50687,6112097,44320,768,Burundi,Africa
1998,47.28,240.6276,6186352,43260,795,Burundi,Africa
1999,47.79,234.68485,6278940,42450,775,Burundi,Africa
2000,47.91,228.24757,6400706,42010,754,Burundi,Africa
2001,49.03,227.42811,6555829,41280,751,Burundi,Africa
2002,49.87,230.99615,6741569,40820,763,Burundi,Africa
2003,50.86,221.22748,6953113,40550,731,Burundi,Africa
2004,52,224.51555,7182451,40380,742,Burundi,Africa
2005,53.11,219.18655,7423289,40160,724,Burundi,Africa
2006,54.32,223.40359,7675338,39880,738,Burundi,Africa
2007,55.42,226.30444,7939573,39540,748,Burundi,Africa
2008,56.32,229.8347,8212264,39260,759,Burundi,Africa
2009,57.14,230.05317,8489031,39070,760,Burundi,Africa
2010,57.73,231.19433,8766930,38780,764,Burundi,Africa
2011,58.21,233.51813,9043508,38670,772,Burundi,Africa
2012,58.75,235.70529,9319710,38300,779,Burundi,Africa
2013,59.22,239.33107,9600186,37830,791,Burundi,Africa
2014,59.59,243.10191,9891790,37340,803,Burundi,Africa
2015,59.99,226.52806,10199270,36970,749,Burundi,Africa
1960,69.63,13193.31494,9167365,5614,12585,Belgium,Europe
1961,70.5,13804.19935,9225407,5461,13098,Belgium,Europe
1962,70.23,14465.97743,9283540,5229,13663,Belgium,Europe
1963,70.04,14983.04261,9340415,4953,14136,Belgium,Europe
1964,70.71,15874.40469,9394292,4649,14965,Belgium,Europe
1965,70.56,16291.01966,9443939,4369,15328,Belgium,Europe
1966,70.63,16692.01699,9488753,4115,15688,Belgium,Europe
1967,70.92,17241.44737,9529042,3876,16191,Belgium,Europe
1968,70.61,17894.0438,9565595,3660,16779,Belgium,Europe
1969,70.69,19026.42965,9599651,3461,17829,Belgium,Europe
1970,70.95,20070.54797,9632180,3258,18860,Belgium,Europe
1971,71.11,20832.52408,9663324,3087,19503,Belgium,Europe
1972,71.35,21850.00287,9692846,2917,20456,Belgium,Europe
1973,71.58,23171.37936,9720761,2762,21648,Belgium,Europe
1974,71.85,24153.09916,9747020,2592,22495,Belgium,Europe
1975,72.05,23609.9371,9771586,2438,22141,Belgium,Europe
1976,72.3,24900.01711,9794777,2273,23359,Belgium,Europe
1977,72.63,25025.00988,9816696,2113,23485,Belgium,Europe
1978,72.8,25712.19412,9836814,1965,24139,Belgium,Europe
1979,73.06,26290.49418,9854377,1840,24690,Belgium,Europe
1980,73.22,27428.61189,9868995,1731,25777,Belgium,Europe
1981,73.46,27352.7296,9880592,1651,25446,Belgium,Europe
1982,73.66,27522.95363,9889824,1583,25801,Belgium,Europe
1983,73.84,27610.97542,9897880,1520,25805,Belgium,Europe
1984,74.18,28292.3926,9906371,1469,26450,Belgium,Europe
1985,74.48,28751.1591,9916578,1423,26713,Belgium,Europe
1986,74.8,29264.78991,9928542,1371,27108,Belgium,Europe
1987,75.16,29914.31547,9942289,1313,27729,Belgium,Europe
1988,75.5,31227.79175,9959020,1266,29003,Belgium,Europe
1989,75.71,32193.97931,9980176,1210,29887,Belgium,Europe
1990,75.95,33105.15524,10006544,1175,30701,Belgium,Europe
1991,76.12,33586.95831,10039445,1133,31148,Belgium,Europe
1992,76.36,33962.98639,10078101,1099,31497,Belgium,Europe
1993,76.44,33505.1655,10118674,1053,31072,Belgium,Europe
1994,76.66,34479.93755,10155919,999,31976,Belgium,Europe
1995,76.86,35228.34192,10186305,923,32670,Belgium,Europe
1996,77.09,35719.81023,10208275,851,33126,Belgium,Europe
1997,77.33,36955.6362,10223789,783,34272,Belgium,Europe
1998,77.47,37605.22806,10237299,715,34875,Belgium,Europe
1999,77.64,38856.0635,10255160,666,36034,Belgium,Europe
2000,77.8,40170.41893,10282033,637,37253,Belgium,Europe
2001,78,40357.37076,10319019,615,37427,Belgium,Europe
2002,78.21,40892.21772,10364885,603,37923,Belgium,Europe
2003,78.48,41036.79826,10419032,595,38057,Belgium,Europe
2004,78.85,42344.69483,10480117,600,39270,Belgium,Europe
2005,79.11,42994.36365,10546886,604,39872,Belgium,Europe
2006,79.37,43782.13955,10619567,606,40600,Belgium,Europe
2007,79.49,44960.79786,10697835,607,41672,Belgium,Europe
2008,79.61,44956.36733,10779173,605,41653,Belgium,Europe
2009,79.77,43591.27188,10860290,599,40375,Belgium,Europe
2010,79.98,44380.17663,10938739,590,41087,Belgium,Europe
2011,80.19,44556.03681,11013083,578,41249,Belgium,Europe
2012,80.32,44337.57677,11083550,561,41006,Belgium,Europe
2013,80.55,44209.74335,11151512,556,40781,Belgium,Europe
2014,80.87,44676.66073,11219161,537,41355,Belgium,Europe
2015,80.86,45052.36535,11287940,522,41723,Belgium,Europe
1960,41.09,520.40418,2431622,31350,1186,Benin,Africa
1961,41.64,529.29734,2465867,31600,1200,Benin,Africa
1962,42.19,503.59908,2502896,31820,1134,Benin,Africa
1963,42.76,519.13066,2542859,32040,1161,Benin,Africa
1964,43.34,544.42776,2585965,32250,1214,Benin,Africa
1965,43.94,563.14644,2632356,32480,1248,Benin,Africa
1966,44.56,572.45322,2682159,32670,1265,Benin,Africa
1967,45.2,567.38363,2735307,32890,1249,Benin,Africa
1968,45.86,577.30549,2791590,33110,1267,Benin,Africa
1969,46.53,581.61037,2850661,33380,1274,Benin,Africa
1970,47.21,581.23512,2912340,33760,1269,Benin,Africa
1971,47.59,560.18011,2976572,34140,1245,Benin,Africa
1972,48.2,583.05624,3043567,34420,1321,Benin,Africa
1973,48.74,591.05053,3113675,34620,1318,Benin,Africa
1974,49.24,596.65771,3187412,34740,1189,Benin,Africa
1975,49.57,553.93665,3265165,34850,1208,Benin,Africa
1976,49.96,545.14358,3347173,34950,1228,Benin,Africa
1977,50.3,557.93223,3433439,35020,1263,Benin,Africa
1978,50.66,550.4265,3523938,35150,1269,Benin,Africa
1979,51.06,571.07251,3618526,35400,1334,Benin,Africa
1980,51.53,593.61956,3717165,35760,1424,Benin,Africa
1981,52,635.11749,3820128,36200,1467,Benin,Africa
1982,52.49,631.52714,3927714,36620,1582,Benin,Africa
1983,52.96,587.28763,4039949,37030,1472,Benin,Africa
1984,53.31,616.0375,4156819,37420,1545,Benin,Africa
1985,53.72,643.58748,4278501,37820,1614,Benin,Africa
1986,54.27,638.74904,4404506,38200,1602,Benin,Africa
1987,54.78,611.02814,4535263,38450,1531,Benin,Africa
1988,55.21,613.23118,4672852,38640,1530,Benin,Africa
1989,55.34,577.53988,4820016,38870,1451,Benin,Africa
1990,55.46,609.34562,4978496,39150,1463,Benin,Africa
1991,55.61,614.00529,5149499,39320,1474,Benin,Africa
1992,55.99,610.5509,5331803,39470,1466,Benin,Africa
1993,56.35,623.95366,5521763,39680,1498,Benin,Africa
1994,56.36,615.12045,5714220,39890,1477,Benin,Africa
1995,56.46,631.17122,5905558,40090,1515,Benin,Africa
1996,56.43,638.07633,6094259,40460,1532,Benin,Africa
1997,56.85,654.54281,6281639,40710,1571,Benin,Africa
1998,57.07,660.63178,6470265,40820,1586,Benin,Africa
1999,57.34,675.67748,6664098,40870,1622,Benin,Africa
2000,57.56,694.24375,6865951,40950,1666,Benin,Africa
2001,57.76,709.46936,7076733,40860,1703,Benin,Africa
2002,58.24,720.16828,7295394,40680,1729,Benin,Africa
2003,58.59,722.6672,7520555,40480,1735,Benin,Africa
2004,59.02,732.33542,7750004,40230,1758,Benin,Africa
2005,59.47,723.19996,7982225,39940,1736,Benin,Africa
2006,59.86,730.27526,8216896,39690,1753,Benin,Africa
2007,60.27,752.21521,8454791,39400,1806,Benin,Africa
2008,60.78,767.03182,8696916,39140,1841,Benin,Africa
2009,61.37,763.15472,8944706,38920,1832,Benin,Africa
2010,61.82,757.69591,9199259,38710,1819,Benin,Africa
2011,62.24,758.57752,9460802,38510,1821,Benin,Africa
2012,62.63,773.18272,9729160,38240,1856,Benin,Africa
2013,63.02,805.96716,10004451,37980,1935,Benin,Africa
2014,63.41,833.64088,10286712,37510,2001,Benin,Africa
2015,63.9,827.83546,10575952,37090,1987,Benin,Africa
1960,38.62,238.85456,4829288,73170,659,Burkina Faso,Africa
1961,39.19,245.19858,4894580,73630,681,Burkina Faso,Africa
1962,39.77,256.77717,4960326,73590,717,Burkina Faso,Africa
1963,40.36,250.11785,5027821,73360,702,Burkina Faso,Africa
1964,40.94,252.26183,5098890,73410,711,Burkina Faso,Africa
1965,41.55,257.91508,5174870,74000,731,Burkina Faso,Africa
